subject,summary,press,wdate,link
"거래소 ""비상계엄 선포에 4일 증시 운영 미정…곧 결정""","윤석열 대통령이 비상계엄을 선포하면서 4일 국내 증시 개장이 불확실해졌다. 한국거래소 관계자는 3일 ""다음날 장 운영 여부는 미정으로 .. 뉴시스 | 2024-12-03 23:59:13",뉴시스,2024-12-03 23:59:13,https://n.news.naver.com/mnews/article/003/0012939429
비상계엄 선포로 가상자산 '쇼크'…비트코인 1억대 깨지기도,윤석열 대통령이 3일 밤 서울 용산 대통령실에서 긴급 담화를 통해 비상계엄을 선포하며 비트코인 가격이 급락했다. 이날 오후 11시40분.. 머니투데이 | 2024-12-03 23:53:59,머니투데이,2024-12-03 23:53:59,https://n.news.naver.com/mnews/article/008/0005122917
‘비상 계엄 선포’에 뉴욕증시 개장 직후 한국 관련주 패닉셀 양상...한국ETF 4% 대 하락 출발,외인 심리 흔들려 패닉셀 양상 뉴욕증시 개장하자 급전직하 한국 ETF 4%대 급락 출발 쿠팡 주가 -5% 포스코도 -6% 윤석열 대통령.. 매일경제 | 2024-12-03 23:39:10,매일경제,2024-12-03 23:39:10,https://n.news.naver.com/mnews/article/009/0005407398
尹의 계엄 선언…초유의 사태에 韓 증시·환율 '시계제로'(종합),김정현 강수련 윤석열 대통령의 계엄 선포에 달러·원 환율이 한때 1430원대를 돌파하고 코스피 선물도 하락하며 환율·증시 등 자산시장이.. 뉴스1 | 2024-12-03 23:38:30,뉴스1,2024-12-03 23:38:30,https://n.news.naver.com/mnews/article/421/0007943576
국내 거래소서 40% 넘게 코인 '역 프리미엄' 발생,비상계엄이 선언된 3일 국내 최대 가상자산거래소인 업비트에서 코인 투매가 현상이 벌어졌다. 이에 따라 역(逆) 김치프리미엄이 40% 넘.. 머니투데이 | 2024-12-03 23:26:38,머니투데이,2024-12-03 23:26:38,https://n.news.naver.com/mnews/article/008/0005122890
[속보] ‘비상 계엄 선포’에 뉴욕증시서 한국 관련주 줄줄이 출렁,외인 심리 흔들려 패닉셀 양상 3일 뉴욕증시 개장 전 부터 한국 투자 ETF 3.5% 급락 쿠팡 주가도 5% 낙폭 부각 윤석열 대통령이.. 매일경제 | 2024-12-03 23:15:09,매일경제,2024-12-03 23:15:09,https://n.news.naver.com/mnews/article/009/0005407384
"비상계엄 선포에 투자자들 '멘붕'…""내일 폭락 아니냐""",윤석열 대통령이 비상계엄을 선포하자 국내 증시에 투자한 투자자들이 패닉에 빠졌다. 윤 대통령은 3일 밤 용산 대통령실에서 긴급 브리핑을.. 뉴스1 | 2024-12-03 23:08:58,뉴스1,2024-12-03 23:08:58,https://n.news.naver.com/mnews/article/421/0007943511
"얼라인, 두산에너빌에 재반박 ""핵심은 이해충돌…지엽적 오류 불필요""",얼라인파트너스자산운용(얼라인파트너스)은 글로벌 의결권 자문사 ISS 보고서를 반박한 두산에너빌리티를 3일 비판했다. 앞서 두산에너빌리티.. 이데일리 | 2024-12-03 21:51:13,이데일리,2024-12-03 21:51:13,https://n.news.naver.com/mnews/article/018/0005898115
"“미장 오르는데 국장만 왜 이 지경”…엇갈린 중소형주 성적표, 이유가",트럼프 대규모 부양책 기대감 美 중소형주 담은 러셀2000 한 달새 11% 가까이 치솟아 韓 경기 둔화에 얼어붙은 투심 소형주 지수 하.. 매일경제 | 2024-12-03 21:26:07,매일경제,2024-12-03 21:26:07,https://n.news.naver.com/mnews/article/009/0005407354
배달앱 주문 취소 정책 도입…먹튀 우려에 업주는 '울상',배달 플랫폼들이 잇따라 소비자가 요구하면 가게 주인 동의없이도 주문을 취소해주는 정책을 도입하고 있습니다. 무조건 환불을 거부하는 업주.. MBN | 2024-12-03 20:13:07,MBN,2024-12-03 20:13:07,https://n.news.naver.com/mnews/article/057/0001857669
추워진다는데 지역난방 9.8%·도시가스 7% '쑥'…서민들 한숨,"본격적인 겨울 추위가 시작됐죠? 역시 난방비가 걱정입니다. 소비자물가 상승률은 석 달 연속 1%대로 주춤하지만, 지역난방이나 가스는 요.. MBN | 2024-12-03 20:09:12",MBN,2024-12-03 20:09:12,https://n.news.naver.com/mnews/article/057/0001857667
미-중 AI 싸움에 삼성 '직격탄' SK하이닉스 '예의주시',"미국의 대중국 수출 제재는 전 세계 HBM의 대부분을 생산하는 우리나라 삼성전자와 SK하이닉스 영향을 줄 수밖에 없습니다. 특히, 중국.. MBN | 2024-12-03 20:05:06",MBN,2024-12-03 20:05:06,https://n.news.naver.com/mnews/article/057/0001857665
"“이자도 못 갚는데 장사 뭐하러 하나”…대기업마저 내년 투자계획 포기, 왜",코스피 200대 기업 중 30곳 영업이익으로 이자 감당 못해 LG화학·SK케미칼·호텔신라 업황 침체되며 고금리에 신음 “경기 어둡고 美.. 매일경제 | 2024-12-03 19:53:06,매일경제,2024-12-03 19:53:06,https://n.news.naver.com/mnews/article/009/0005407329
롯데케미칼發 불확실성 증가' 롯데 사면초가 우려,최근 불거진 롯데케미칼의 유동성 위기는 롯데 전반의 위기를 가져올 수 있다. 롯데케미칼의 신용등급의 하락은 계열통합신용도와 롯데지주 신.. 파이낸셜뉴스 | 2024-12-03 18:56:16,파이낸셜뉴스,2024-12-03 18:56:16,https://n.news.naver.com/mnews/article/014/0005276659
"'산넘어 산' 롯데, 3년간 갚아야할 차입금 21조 [롯데, 위기설 넘을까]",롯데그룹이 향후 3년간 갚아야 할 시장성 차입금(회사채·CP·전자단기사채)이 20조원을 넘는 것으로 나타났다. 연간 7조원 이상 꼬박꼬.. 파이낸셜뉴스 | 2024-12-03 18:53:15,파이낸셜뉴스,2024-12-03 18:53:15,https://n.news.naver.com/mnews/article/014/0005276657
"그룹 '목줄' 쥔 케미칼… 19일 사채권자와 담판에 주목 [롯데, 위기설 넘을까]",롯데케미칼 유동성 리스크 우려가 오는 19일 사채권자 집회를 기점으로 진화될지 산업계의 관심이 모아지고 있다. 롯데케미칼이 발행한 회사.. 파이낸셜뉴스 | 2024-12-03 18:48:20,파이낸셜뉴스,2024-12-03 18:48:20,https://n.news.naver.com/mnews/article/014/0005276653
지하실 탈출?… 네카오 오랜만에 ‘V자 반등’,1년 내내 바닥을 찍던 국내 대표 플랫폼 기업 네이버와 카카오의 주가가 상승세를 보이며 ‘국민주’의 위상을 회복할 준비를 하고 있다. .. 국민일보 | 2024-12-03 18:46:18,국민일보,2024-12-03 18:46:18,https://n.news.naver.com/mnews/article/005/0001743149
"채권만 370조 굴리는 글로벌 운용사 ""하이일드에 기회 있다""",전 세계적으로 채권 자산만 370조원 규모로 굴리는 자산운용사가 하이일드(투기등급 회사채)에 투자 기회가 있다고 봤다. 밸류에이션이 높.. 파이낸셜뉴스 | 2024-12-03 18:36:23,파이낸셜뉴스,2024-12-03 18:36:23,https://n.news.naver.com/mnews/article/014/0005276629
글로벌 성수기 맞은 현대차·기아… 외국인·기관도 컴백,"현대차와 기아가 11월 글로벌 판매량을 공시하면서 외국인, 기관 투자자들을 중심으로 수급이 개선되고 있다. 시장 참여자들은 이달 초 발.. 파이낸셜뉴스 | 2024-12-03 18:36:18",파이낸셜뉴스,2024-12-03 18:36:18,https://n.news.naver.com/mnews/article/014/0005276627
코스피 초토화 됐지만… 개미들 '트럼프 수혜주' 빚투,미국 대선 이후 전체 신용융자잔고 감소에도 트럼프 수혜주에 대한 빚투(빚내서 투자)는 늘어난 것으로 나타났다. 다만 트럼프 트레이드 되.. 파이낸셜뉴스 | 2024-12-03 18:35:12,파이낸셜뉴스,2024-12-03 18:35:12,https://n.news.naver.com/mnews/article/014/0005276626
"""대체거래소·파생상품 야간시장 24시간 무장애 총력""","자본시장의 대전환기에서 코스콤은 변화와 혁신을 선도하겠다"" 윤창현 코스콤 사장이 취임 100일을 맞아 개최한 간담회에서 이같이 강조했다.. 파이낸셜뉴스 | 2024-12-03 18:34:17",파이낸셜뉴스,2024-12-03 18:34:17,https://n.news.naver.com/mnews/article/014/0005276622
출범 두달만에 하이브 투자…‘신생’ 이스톤PE의 10배 수익 비결은[마켓인],"하이브(352820) 상장과 관련해 방시혁 하이브 의장과 주주간 계약을 맺은 사모펀드(PEF) 운용사는 스틱인베스트먼트, 이스톤에쿼티파.. 이데일리 | 2024-12-03 18:24:12",이데일리,2024-12-03 18:24:12,https://n.news.naver.com/mnews/article/018/0005898059
"[단독] 현금 급한 롯데케미칼, 1조 건자재 사업마저 판다","비핵심사업 떼어내 매각 재무구조 개선작업 속도 롯데, 유동성 위기설 잠재우기 안간힘 롯데케미칼이 몸값이 최대 1조원 수준으로 평가받는 .. 매일경제 | 2024-12-03 18:16:08",매일경제,2024-12-03 18:16:08,https://n.news.naver.com/mnews/article/009/0005407309
[단독] “화장품 기업 매물은 없나요?”…M&A 시장 한파에도 K뷰티 인기 폭발,"아모레·암웨이 등에 제품 공급 최대 2000억 지디케이, 매물로 JKL파트너스 8년만에 매각 나서 화성코스메틱·서린컴퍼니 등 K뷰티업계.. 매일경제 | 2024-12-03 18:04:08",매일경제,2024-12-03 18:04:08,https://n.news.naver.com/mnews/article/009/0005407306
화장품 역대최대 수출…뷰티株 볕드나,국내 화장품주들이 3일 모처럼 만에 날아올랐다. 전문가들은 K-뷰티의 글로벌 시장 확장 기조가 이어지고 있다며 수출 비중이 높은 화장품.. 서울경제 | 2024-12-03 18:00:17,서울경제,2024-12-03 18:00:17,https://n.news.naver.com/mnews/article/011/0004422658
현금 급한 롯데케미칼 1조 건자재 사업 판다,비핵심사업 떼어내 매각 재무구조 개선작업 속도 롯데케미칼이 몸값이 최대 1조원 수준으로 평가받는 건축자재사업부 매각을 추진한다. 최근 .. 매일경제 | 2024-12-03 17:58:11,매일경제,2024-12-03 17:58:11,https://n.news.naver.com/mnews/article/009/0005407287
미국 17% 뛸때 한국 -8% 리츠 ETF 수익률도 희비,"국내 상장 상품 수익률 비교 美, 금리인하 탄력 받았지만 국내 리츠는 유상증자 악재 상업용 부동산 불확실성 커져 한국과 미국 증시 수익.. 매일경제 | 2024-12-03 17:55:51",매일경제,2024-12-03 17:55:51,https://n.news.naver.com/mnews/article/009/0005407276
"韓美증시 양극화, 중소형주가 유독 심해",트럼프 대규모 부양책 기대감 美 중소형주 담은 러셀2000 한 달새 11% 가까이 치솟아 韓 경기 둔화에 얼어붙은 투심 코스피 2% 떨.. 매일경제 | 2024-12-03 17:55:29,매일경제,2024-12-03 17:55:29,https://n.news.naver.com/mnews/article/009/0005407275
"""관세 무풍지대""…외인·기관 매수 몰린 네카오",국내 인터넷주의 대표 주자인 네이버와 카카오가 부활 조짐을 보이고 있다. 외국인과 기관의 순매수가 이어지면서 주가가 하반기 저점 대비 .. 한국경제 | 2024-12-03 17:52:22,한국경제,2024-12-03 17:52:22,https://n.news.naver.com/mnews/article/015/0005064862
"금감원, 유상증자 제동 걸자…이수페타시스 급등",이수페타시스(007660)가 유상증자를 철회할 수 있다는 기대에 주가가 급등했다. 이수페타시스는 앞서 유상증자를 통해 2차전지 업체 제.. 서울경제 | 2024-12-03 17:52:16,서울경제,2024-12-03 17:52:16,https://n.news.naver.com/mnews/article/011/0004422648
"기아, 최소 주당배당금 5000원 제시","기아(000270)가 배당 성향 25% 이상 유지, 자사주 최대 10% 매입 등을 골자로 하는 밸류업(주주가치 제고) 계획을 발표했다... 서울경제 | 2024-12-03 17:51:12",서울경제,2024-12-03 17:51:12,https://n.news.naver.com/mnews/article/011/0004422647
경기 둔화 우려에 금융주 강세,경기 둔화 우려가 커지면서 경기 방어주인 금융주가 강세다. 배당 수익에 대한 기대가 높아진 것도 호재다. 3일 한국거래소에 따르면 삼성.. 서울경제 | 2024-12-03 17:49:09,서울경제,2024-12-03 17:49:09,https://n.news.naver.com/mnews/article/011/0004422642
"""화장품株 수출신화 지속…저가매수 기회""",수출액이 정점을 찍었다는 우려가 커지며 급락했던 화장품주가 일제히 반등에 성공했다. 올해 화장품 업종 수출액이 역대 최대치를 기록하면서.. 한국경제 | 2024-12-03 17:48:19,한국경제,2024-12-03 17:48:19,https://n.news.naver.com/mnews/article/015/0005064852
"30년 한길 '여의도 나침반' 윤지호, LS증권 떠난다",이른바 '윤센'(윤 센터장)으로 불리며 '여의도 나침반' 역할을 해왔던 윤지호 LS증권 리테일사업부 대표가 30년간의 여정을 마치고 증.. 뉴스1 | 2024-12-03 17:38:37,뉴스1,2024-12-03 17:38:37,https://n.news.naver.com/mnews/article/421/0007943289
"""특수가스 시너지 크다"" 효성그룹株 '쑥'","화학서 티앤씨로 매각땐 세계2위 생산력 확보할듯 ""유상증자 없다"" 못 박자 티앤씨 10%·화학 4% 상승 효성화학의 특수가스 사업 부문.. 매일경제 | 2024-12-03 17:37:08",매일경제,2024-12-03 17:37:08,https://n.news.naver.com/mnews/article/009/0005407205
"“올해 마지막 코스피 데뷔 남았다”…KB증권, IPO 순위 뒤집을까",기업공개(IPO) 시장이 연말로 접어든 가운데 KB증권이 막판 스퍼트를 내고 있다. 올해 마지막 코스피 IPO 주자의 상장 주관을 이끌.. 매일경제 | 2024-12-03 17:35:08,매일경제,2024-12-03 17:35:08,https://n.news.naver.com/mnews/article/009/0005407201
유상증자에 깐깐해진 금감원…3개월간 정정 요구 9건,금융감독원이 투자자 보호를 이유로 유상증자 심사 기준을 강화하면서 증권신고서 정정 요구가 급증한 것으로 나타났다. 기업의 자금 조달 창.. 서울경제 | 2024-12-03 17:29:15,서울경제,2024-12-03 17:29:15,https://n.news.naver.com/mnews/article/011/0004422603
