subject,summary,press,wdate,link
"MBK·영풍 ""고려아연 순환출자 구축, 탈법행위 첫 사례""","SMC의 영풍 주식 취득은 명백히 계산된 것"" 미공개 정보 지인 전달설은 부인 MBK파트너스와 영풍은 최윤범 고려아연 회장이 해외 손자.. 더팩트 | 2025-01-30 20:34:12",더팩트,2025-01-30 20:34:12,https://n.news.naver.com/mnews/article/629/0000360322
"""엔비디아 저가매수 기회""…설연휴 美 반도체주 사들인 서학개미",설 연휴에도 서학개미들은 잠들지 못했다. 중국 인공지능(AI) 스타트업 '딥시크'가 뉴욕증시를 뒤흔들었기 때문이다. 국내 투자자들은 엔.. 한국경제 | 2025-01-30 20:10:11,한국경제,2025-01-30 20:10:11,https://n.news.naver.com/mnews/article/015/0005087714
시중은행 가려면 20km…점점 넓어지는 '은행 사막'[경제기자M],경제기자M 강서영입니다. '은행 사막'은 식물이 부족한 사막처럼 은행이 부족한 지역을 말합니다. 올해도 주요 시중은행들이 앞다퉈 점포를.. MBN | 2025-01-30 19:55:08,MBN,2025-01-30 19:55:08,https://n.news.naver.com/mnews/article/057/0001869186
연휴에도 로또 사러 긴 줄…작년 판매액 6조 '역대 최대',로또 복권이 지난해 6조 원 가까이 팔리며 역대 최대 판매액을 기록했습니다. 연휴에도 '로또 명당'으로 불리는 곳에는 시민들이 긴 줄을.. MBN | 2025-01-30 19:43:08,MBN,2025-01-30 19:43:08,https://n.news.naver.com/mnews/article/057/0001869180
"에어부산 화재 여객기 블랙박스 회수…""승무원 진술 중요""",에어부산 여객기 화재 원인을 살펴보는 사고조사위원회는 연기를 뚫고 블랙박스를 회수했습니다. 사조위는 불이 난 순간 객실 안에 있던 승무.. MBN | 2025-01-30 19:25:08,MBN,2025-01-30 19:25:08,https://n.news.naver.com/mnews/article/057/0001869171
"“미국 주식 한다던 삼촌, 연휴 내내 표정이”…딥시크 쇼크에 증시 휘청",AI 모델 개발비 10분의 1 반도체 종목 줄줄이 하락 삼성전자·SK하이닉스 등 HBM 종목 영향 받나 촉각 중국 인공지능(AI) 스타.. 매일경제 | 2025-01-30 19:09:10,매일경제,2025-01-30 19:09:10,https://n.news.naver.com/mnews/article/009/0005436111
금리인하기 '회사채 흥행' 이어질까,연초 공모 회사채 시장에 낮은 금리로 자금을 조달하려는 기업이 잇따르면서 수요예측 흥행 릴레이가 이어지고 있다. 이 같은 '슈퍼위크'가.. 파이낸셜뉴스 | 2025-01-30 18:22:15,파이낸셜뉴스,2025-01-30 18:22:15,https://n.news.naver.com/mnews/article/014/0005301604
"잘 나갔던 양매도 ETN, 성과 부진에 쇠락의 길",일정 구간에서만 벗어나지 않으면 수익을 안겨줘 한창 인기를 끌었던 양매도 상장지수증권(ETN)이 쇠락의 길을 걷고 있다. 경제적 불확실.. 파이낸셜뉴스 | 2025-01-30 18:09:11,파이낸셜뉴스,2025-01-30 18:09:11,https://n.news.naver.com/mnews/article/014/0005301583
3.9조나 쓸어담았다…'237% 폭등' 벼락부자 된 서학개미,이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 한국 개인투자자가 주요 해외 종목의 ‘큰손’으로 떠올랐.. 한국경제 | 2025-01-30 18:09:09,한국경제,2025-01-30 18:09:09,https://n.news.naver.com/mnews/article/015/0005087663
AI·원전·우주 '트럼프 수혜주' 담는 외국인,"외국인 투자자들이 트럼프 수혜주를 담고 있다. 막대한 인프라 투자를 예고한 인공지능(AI) 관련주를 비롯해 원전, 우주 관련주에 매수세.. 파이낸셜뉴스 | 2025-01-30 18:09:09",파이낸셜뉴스,2025-01-30 18:09:09,https://n.news.naver.com/mnews/article/014/0005301582
K푸드에 바이오까지…오리온 '리가켐 효과' 볼까,‘초코파이’로 유명한 오리온은 그동안 증권가에서 국내 대표 식품주로 여겨졌다. 지난해 바이오업체 리가켐바이오를 인수하면서 애널리스트들의.. 한국경제 | 2025-01-30 18:08:17,한국경제,2025-01-30 18:08:17,https://n.news.naver.com/mnews/article/015/0005087662
브라질 국채 '쓴맛' 봤지만…다시 담는 韓 투자자들,이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 헤알화 가치가 작년에만 30% 가까이 급락해 국내 투자.. 한국경제 | 2025-01-30 18:08:15,한국경제,2025-01-30 18:08:15,https://n.news.naver.com/mnews/article/015/0005087661
2월 공모주 큰 장 열린다… 13곳 출격 '옥석 가리기' 심화,설 연휴 이후 공모주 시장이 활기를 띨 전망이다. 다음달에 무려 13곳의 기업공개(IPO) 일반 청약이 대기하고 있어서다. 특히 2월 .. 파이낸셜뉴스 | 2025-01-30 18:08:14,파이낸셜뉴스,2025-01-30 18:08:14,https://n.news.naver.com/mnews/article/014/0005301581
"반도체주 '딥시크' 충격…""中사업 소부장株엔 기회""",중국 인공지능(AI) 스타트업 딥시크발 충격이 미국 기술주를 강타하자 증권가는 국내 증시 영향에 촉각을 곤두세우고 있다. 30일 금융투.. 한국경제 | 2025-01-30 18:07:09,한국경제,2025-01-30 18:07:09,https://n.news.naver.com/mnews/article/015/0005087659
"中, 명절에도 술 안마시나…맥주株 '비실'",이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 중국 맥주 기업 주가가 부진한 흐름을 보이고 있다. 세.. 한국경제 | 2025-01-30 18:06:20,한국경제,2025-01-30 18:06:20,https://n.news.naver.com/mnews/article/015/0005087657
"""돈 보인다"" 분위기 '好好'…증시 데뷔 노리는 '핀테크 맏형들'",핀테크(금융기술기업) 맏형들이 기업공개(IPO)에 하나둘 도전하고 있다. 이들 기업이 투자 혹한기와 성장동력에 대한 우려 등을 딛고 안.. 한국경제 | 2025-01-30 17:52:11,한국경제,2025-01-30 17:52:11,https://n.news.naver.com/mnews/article/015/0005087637
